role,title,company,city_clean,region,country,job_count
Data Scientist,Praxissemester als Data Scientist – KI - AI (m/w/d),Xiller GmbH,Nürnberg,Mittelfranken,Germany,1
Data Scientist,Data Scientist / AI-Engineer (m/w/d),N & H Technology GmbH,Willich,,Germany,1
Data Scientist,Analyst / Data Scientist - Bochum (m/w/d),Vonovia Value Add,Bochum,,Germany,1
Data Scientist,Scientist / Senior Scientist Bioprocess Modeling & Data,Brunel GmbH NL Wuppertal,Wuppertal,,Germany,1
Data Scientist,Scientist (m/w/d) parenterale Arzneimittel,FERCHAU GmbH Niederlassung Mannheim,Ludwigshafen Am Rhein,,Germany,1
Data Scientist,Staff Data Scientist - AdTech Ranking,Delivery Hero SE,Berlin,,Germany,1
Data Scientist,Principal Data Scientist - AdTech Ranking,Delivery Hero SE,Berlin,,Germany,1
Data Scientist,Referent:in Data Scientist Digitalisierung und Business Analytics (m/w/d),Stadtsparkasse Düsseldorf,Düsseldorf,,Germany,1
Data Scientist,(Senior) Data Scientist (m/f/d),Lehmann + Pioneers Digital GmbH,Leinfelden-Echterdingen,,Germany,1
Data Scientist,Actuarial Data Scientist / Aktuar:in / Mathematiker:in im Pricing (w/m/d),HUK-COBURG VVaG,Coburg,,Germany,1
Data Scientist,Data Engineer (m/w/d),Haufe Group SE,Freiburg Im Breisgau,,Germany,1
Data Scientist,(Junior) Data Scientist (m/w/d) – Fokus auf Recommender Systems und Ranking-Probleme Mietwagen,CHECK24 Services Personal GmbH,Augsburg,Bayern,Germany,1
Data Scientist,Data Scientist bzw. Data Engineer (m/w/d) im Datenkompetenzteam des Rechnungshofs,Rechnungshof von Berlin,Berlin,,Germany,1
Data Scientist,Data Analyst (m/w/d),Galileo Global Education Germa ny GmbH,München,,Germany,1
Data Scientist,Data Engineer (w/m/d),Siemens Energy Global GmbH & Co. KG,Berlin,,Germany,1
Data Scientist,Acht Data Scientists (m/w/d),Deutsche Bundesbank Zentrale,Frankfurt Am Main,,Germany,1
Data Scientist,"SENIOR DATA SCIENTIST*, HS48 Zentrale",NEW YORKER,Braunschweig,,Germany,1
Data Scientist,(Senior) Data Analyst - Lifecycle-Analysen im Marineschiffbau (m/w/d),Rheinmetall AG,Bremen,,Germany,1
Data Scientist,(Senior) Data Scientist Customer Analytics (m/w/d),Deichmann,Essen,Ruhr,Germany,1
Data Scientist,Data Analyst (m/w/d),FERCHAU GmbH Niederlassung Rostock,Rostock,,Germany,1
Data Scientist,Mathematiker / Data Scientist (m/w/d) Statistik & Datenanalyse für PoC-Systeme (915),Brüggen Engineering GmbH,Mannheim,,Germany,1
Data Scientist,(Senior-) Data Architekt (m/w/d),Vereinigte Hagelvers. VVaG,Gießen,Lahn,Germany,1
Data Scientist,Solutions Architect Data (w/m/d),Brunel GmbH NL Bielefeld,Bielefeld,,Germany,1
